Angle X,Angle Y,Angle Z

62.4,24.37,0.25
62.3,24.28,0.1
62.38,24.38,0.05
62.22,24.55,0.01
62.15,24.72,0.02
62.08,24.79,0.06
62.16,24.8,-0.1
62.14,24.72,0.02
62.19,24.75,0
62.26,24.58,0.05
62.17,24.38,0
62.12,24.37,-0.01
62.07,24.23,0.03
62.16,24.24,0.12
62.27,24.21,0.14
62.17,24.34,0.15
62.29,24.37,-0.12
62.27,24.35,-0.04
62.23,24.39,0.21
62.15,24.34,0.3
62.19,24.34,0.11
62.26,24.28,0.1
62.38,24.36,0.21
62.33,24.35,0.12
62.29,24.38,-0.01
62.19,24.51,-0.04
62.19,24.38,-0.02
62.18,24.35,0.06
62.13,24.39,-0.12
62.19,24.28,-0.12
62.25,24.29,-0.01
62.28,24.22,-0.06
62.38,24.3,-0.12
62.44,24.19,-0.15
62.44,24.13,-0.08
62.27,24.26,0.03
62.29,24.28,-0.03
62.22,24.28,0.05
62.29,24.3,0.01
62.36,24.38,0.12
62.36,24.34,0.17
62.4,24.27,0.1
62.43,24.34,-0.02
62.36,24.34,0.02
62.34,24.27,-0.04
62.36,24.38,-0.02
62.45,24.34,0.09
62.5,24.34,0.13
62.43,24.3,0.08
62.42,24.24,-0.1
62.22,24.16,-0.01
62.35,24.07,0.02
62.32,24.13,-0.01
62.37,24.03,0.1
62.6,24.08,-0.12
62.68,24,-0.09
62.63,23.96,-0.08
62.65,24.08,-0.11
62.72,24.26,-0.1
62.89,24.38,-0.16
62.92,24.43,-0.13
62.89,24.29,-0.14
62.92,24.43,-0.2
62.96,24.41,-0.1
63.02,24.44,0.04
63.14,24.53,-0.15
63.12,24.49,-0.16
63.05,24.49,-0.11
62.92,24.37,-0.2
62.94,24.26,-0.29
62.71,24.34,-0.32
62.76,24.26,-0.22
62.73,24.25,-0.25
62.75,24.27,-0.49
62.72,24.46,-0.42
62.6,24.38,-0.28
62.64,24.41,-0.14
62.64,24.44,-0.06
62.69,24.45,-0.05
58.41,22.1,1.65
58.52,21.92,1.55
56.07,20.88,1.09
56.36,21.05,0.52
63.94,24.29,-1.24
66.41,25.7,-1.94
68.62,26.85,-3.05
71.99,28.8,-4.24
75.13,33.27,-5.9
72.63,32.03,-6.19
61.51,26.3,-2.94
52.9,21.57,0.68
52.77,21.75,0.69
43.74,16.73,5.45
39.72,14.47,7.03
51.6,20.47,3.1
54.11,22.23,2.48
57.25,23.02,3.71
57.3,22.88,4.57
57.17,22.79,4.36
57.25,22.8,4.64
57.04,22.66,4.49
57.42,22.69,4.86
57.24,22.57,4.81
57.54,22.85,4.77
54.93,23.44,-4.26
53.61,24.05,-8.37
58.34,22.97,8.94
60.69,22.56,12.17
63.03,21.44,22.78
63.39,21.08,22.28
60.18,21.01,9.04
62.46,22.31,8.88
62.17,22.28,8.16
62.27,22.28,7.93
63.01,22.25,8.38
77.42,29.79,2.88
71.1,27.18,5.35
91.35,37.18,-3.32
78.25,30.74,1.87
64.83,30.99,-2.42
64.07,31.23,-3.96
68,32.23,-4.39
67.22,32.22,-6.53
67.72,32.23,-3.59
69.28,32.61,-3.57
69.19,32.64,-3.43
68.61,32.24,-3.73
63.45,30.44,-9.93
61.75,30.89,-15.63
59.47,31.44,-22.52
60.11,31.63,-19.14
63.1,31.03,-8.09
69.23,32.36,0.55
75.77,31.5,16.4
73.9,30.81,9.1
71.99,30.65,3.99
68.61,30.23,-6.13
68.5,30.32,-5.28
68.42,30.19,-5.38
68.39,30.14,-5.15
68.41,29.93,-5.17
68.23,29.65,-5.12
68.15,29.53,-4.97
68.16,29.37,-4.99
68.1,29.2,-5.11
46.99,18.29,2.84
45.75,17.62,3.41
51.71,20.54,1.54
60.79,25.17,-1.85
63.02,25.58,-0.93
62.66,25.55,-1.05
63.25,25.66,-0.78
63.01,25.57,-0.99
63.23,25.51,-0.91
63.04,25.62,-0.94
63.07,25.49,-0.89
63.16,25.35,-0.95
63.16,25.37,-0.8
63.14,25.32,-0.74
63.05,25.44,-0.86
63.08,25.36,-0.91
62.97,25.18,-0.79
63.02,25.11,-0.88
63.04,25.06,-0.95
63.05,25.01,-0.81
63.19,24.94,-0.82
63.18,24.91,-0.78
63.18,24.88,-0.89
63.29,24.82,-0.8
63.41,24.99,-0.88
63.32,24.86,-0.93
63.26,24.71,-0.98
63.25,24.68,-0.96
63.11,24.72,-1.14
63.13,24.67,-1.09
63.19,24.69,-0.96
63.23,24.71,-1.06
63.15,24.56,-1.1
63,24.52,-1.02
63.02,24.35,-0.77
62.99,24.41,-0.86
63.1,24.45,-1.06
62.93,24.42,-1.02
62.96,24.52,-1.06
62.92,24.45,-0.92
62.95,24.58,-0.99
62.85,24.46,-0.9
62.77,24.4,-0.94
62.74,24.51,-1
62.7,24.51,-0.84
62.68,24.55,-0.77
61.42,24.09,-1.81
61.42,24.15,-1.9
61.3,24.04,-1.91
62.14,24.29,-2
62.79,24.58,-1.09
62.38,24.35,-1.15
62.62,24.4,-1.02
62.55,24.22,-1.11
62.61,24.28,-1.07
62.79,24.37,-1.16
62.73,24.22,-1.2
62.83,24.23,-1.09
62.82,24.24,-1.21
62.77,24.35,-1.1
62.68,24.16,-1.16
62.63,24.07,-1.26
62.72,24.18,-1.18
62.76,24.04,-1.19
62.72,24.1,-1.09
63.1,24.19,-0.98
63.43,24.13,-0.6
63.28,24.11,-0.84
63.32,24.15,-0.77
62.88,23.99,-1.03
63.03,23.93,-0.98
62.94,24.25,-0.8
62.75,24.19,-1.2
62.39,23.97,-1.16
61.93,23.88,-1.54
61.66,23.53,-1.82
61.06,23.23,-1.55
60.83,23.2,-2.24
61.05,23.41,-1.97
61.01,23.29,-1.94
60.98,23.46,-2.22
60.86,23.54,-2.22
60.08,23.12,-2.95
60.57,23.22,-2.32
59.95,23.01,-3.08
59.55,22.86,-3.34
59.43,22.79,-3.24
73.97,24.39,-6.53
92.41,29.88,-2.81
109.61,3.26,-13.22
119.89,4.46,-18.55
109.39,2.84,-18.14
100.22,7.46,-21.34
90.82,14.98,-16.89
89.97,8.69,-27.43
92.72,2.58,-37.96
94.44,-0.24,-44.05
96.91,2.74,-58.66
99.23,5.44,-73.72
94.28,4.72,-83.25
95.59,6.64,-89.67
78.5,10.31,-101.32
76.57,19.44,-111.98
72.55,22.29,-119.33
76.31,18.28,-124.45
88.74,7.79,-125.71
84.9,7.86,-126.64
89.79,4.21,-132.78
82.13,6.66,-131.25
69.3,-0.64,-130.06
83.72,11.72,-124.93
73.88,28.97,-119.29
73.96,27.79,-118.91
73.67,26.64,-119.39
73.21,25.72,-119.41
73.01,24.7,-119.46
72.95,23.72,-119.52
73.4,22.56,-118.79
73.16,21.55,-118.7
72.89,20.69,-118.91
72.97,19.81,-118.57
72.79,18.96,-118.44
72.57,18.12,-118.39
72.54,17.12,-118.1
72.38,16.14,-118.01
72.02,15.25,-118
71.77,14.53,-118.16
71.56,13.54,-118
71.26,12.79,-117.92
71.08,11.91,-117.92
70.84,10.93,-117.99
