Angle X,Angle Y,Angle Z
64.91,-9.39,17.57
63.77,-10.04,19.94
63.77,-9.94,21.86
63.68,-7.52,19.5
64.79,-3.83,22.49
68.24,0.88,21.41
70.79,7.59,18.77
69.72,10.49,18.69
70.28,8.78,18.62
70.4,8,19.55
68.07,2.65,22.68
64.88,0.13,22.91
65.89,2.19,23.25
66.46,3.95,23.83
67.79,5.23,24.08
67.98,6.74,24.19
66.32,6.03,24.67
72.8,9.85,38.26
75.49,12.37,33.56
80.08,19.11,33.45
79.39,17.44,34.67
79.77,19.1,34.65
77.2,13.6,35.06
75.32,10.14,36.43
75.71,10.54,36.7
76.85,12.04,36.63
78.59,12.15,35.89
81.3,10.8,40.01
81.08,7.98,38.89
81.87,7.11,40.06
79.78,9.83,40.01
79.82,9.51,37.08
82.86,11.01,36.47
84.21,11.68,38.17
83.45,10.46,40.69
81.02,6.77,39.9
79.78,7.64,39.94
80.94,8.9,41.03
83.1,10.12,40.9
80.93,6.8,39.33
80.63,4.16,40.25
82.8,2.67,38.97
81.31,3.12,39.73
80.93,1.46,40.42
81.37,0.91,39.23
82.79,3.03,40.41
86.68,7.22,38.64
87.73,6.87,39.68
89.7,6.02,41.02
91.27,3.22,42.73
92.45,4.22,42.72
90.78,4.52,42.91
91.89,9.25,43.23
91.98,14.47,43.55
91.09,13.78,43.69
90.32,13.66,43.78
89.96,13.43,43.71
89.58,13.05,43.9
89.01,13.2,43.9
88.52,13.07,43.92
88.16,12.97,43.82
87.86,12.84,43.72
87.7,12.78,43.89
87.19,12.75,43.96
86.7,12.76,44.1
86.26,12.63,43.94
85.93,12.51,44.11
85.6,12.5,44.27
85.28,12.47,44.22
85.02,12.26,44.36
84.77,12.09,44.34
84.48,11.83,44.18
84.22,11.8,44.04
83.93,11.77,44.05
83.66,11.48,44.07
83.33,11.44,44.05
82.98,11.46,43.95
82.79,11.17,44.1
82.56,11.17,44.06
82.34,11.2,44.05
82.1,10.94,44.19
81.76,10.75,44.16
81.47,10.8,44.14
81.14,10.88,44.2
81,10.87,44.25
80.76,10.74,44.28
80.46,10.72,44.1
79.88,9.43,44.23
79.55,9.6,44.24
79.25,9.48,44.25
79.01,9.52,44.34
78.79,10.06,44.48
78.32,10.15,44.46
77.93,10.12,44.67
77.68,9.85,44.52
77.46,10.56,44.5
77.21,10.33,44.68
77,10.27,44.7
76.65,10.24,44.57
76.41,10.11,44.77
76.2,10.08,44.93
76.08,10.12,44.83
75.71,10.5,44.9
75.36,10.83,44.83
75.35,10.82,44.83
74.69,10.83,44.91
74.45,10.87,44.75
74.33,10.81,44.78
74.15,10.77,44.83
73.94,10.7,44.6
73.8,10.65,44.73
73.66,10.58,44.64
73.62,10.7,44.68
73.68,10.66,44.65
73.67,10.69,44.4
73.39,10.44,44.27
73.17,10.3,44.23
73.16,10.2,44.12
73.05,10.06,44.06
73.11,9.83,44.15
72.91,9.65,44.11
73.04,9.43,44.24
72.87,9.52,44.34
72.77,9.4,44.58
72.62,9.63,44.62
72.48,9.61,44.72
72.42,9.61,44.87
72.3,9.7,45.11
72.45,9.86,45.15
72.26,10.23,45.14
72.01,10.02,45.27
71.79,10.02,45.51
71.66,10.07,45.34
71.41,9.89,45.41
70.72,10.24,45.52
70.62,9.96,45.78
70.59,10,46.06
70.67,9.87,46.13
70.61,10.03,46.17
70.92,10.48,46.3
70.69,10.04,46.08
70.68,10.09,45.86
70.38,10.04,45.76
70.19,10.04,46.02
69.9,9.93,46.35
70.28,9.09,46.17
70.18,8.97,46.04
70.25,8.76,46.13
