Angle X,Angle Y,Angle Z

46.166,9.866,4.96
47.802,11.49,5.648
48.502,11.896,5.882
50.348,13.962,5.99
52.702,15.528,6.794
55.02,17.32,7.266
57.692,17.6,7.334
57.74,17.604,7.424
56.78,17.774,8.236
59.428,18.116,8.834
60.77,18.616,8.908
62.374,19.67,9.258
63.926,20.516,9.818
65.326,21.744,9.244
66.568,22.252,9.254
69.758,22.592,9.836
72.038,23.88,13.286
73.644,23.238,13.734
75.23,23.708,14.406
76.676,24.638,14.808
77.37,25.27,17.808
78.806,26.244,16.384
80.216,27.428,17.054
80.15,27.86,17.232
80.592,28.786,15.444
80.73,29.268,17.896
81.232,29.744,17.184
81.978,29.962,15.646
82.382,30.236,15.806
82.282,30.826,16.032
84.03,31.408,15.644
85.092,31.48,17.442
84.616,32.324,19.612
84.822,31.892,17.746
85.254,32.57,19.746
86.788,33.42,19.374
87.59,34.578,19.948
88.608,33.86,15.278
87.97,34.414,19.964
88.006,35.112,15.058
88.45,34.812,21.176
89.534,35.538,21.68
90.544,36.288,17.956
90.664,36.6,22.076
90.936,36.564,17.508
92.464,36.726,22.508
93.546,37.604,17.714
93.672,37.654,22.764
94.528,37.644,23.486
95.702,38.36,17.22
95.756,39.484,19.482
96.944,40.254,22.224
99.516,41.786,25.616
102.736,44.502,16.188
107.31,47.138,17.114
111.628,49.816,16.284
114.712,51.844,14.154
117.348,53.71,17.012
118.844,55.28,14.584
120.382,57.506,15.038
124.084,57.998,15.496
130.106,59.336,16.17
130.106,61.438,17.426
134.972,64.1,17.012
135.136,66.054,15.684
134.972,67.238,16.136
132.142,69.172,17.186
129.682,69.188,17.136
124.022,68.04,16.366
122.182,66.212,17.986
120.022,63.596,17.536
119.174,60.168,17.514
119.124,58.14,17.568
119.302,57.564,17.62
119.624,57.564,16.16
119.418,56.95,17.844
119.386,56.22,16.008
119.64,55.442,19.118
120.828,55.882,16.158
121.512,55.962,19.454
121.106,56.336,16.658
120.914,57.006,14.616
120.866,57.822,16.992
120.426,57.918,14.356
120.62,57.986,16.926
120.022,57.958,15.662
118.776,58.524,14.058
120.594,58.388,14.564
120.458,58.084,14.126
120.204,57.25,14.22
120.458,58.442,17.432
120.696,58.958,17.292
121.614,59.316,17.618
122.572,59.418,17.94
123.102,59.936,17.586
120.398,60.136,17.998
117.738,60.182,17.826
114.218,60.382,17.87
110.492,61.93,17.576
106.862,60.25,16.886
104.616,57.306,16.424
104.038,54.852,16.032
103.292,52.148,16.226
103.384,50.006,16.464
103.91,48.984,16.704
103.91,48.498,17.134
104.42,48.498,17.536
104.822,48.46,17.914
105.022,48.762,18.322
105.346,48.912,17.718
105.598,49.058,17.13
105.958,49.162,17.516
106.212,49.326,17.856
106.66,49.542,17.646
106.66,49.414,17.036
106.89,49.572,17.61
106.898,50.152,17.766
