Angle X,Angle Y,Angle Z
,,
66.4,24.36,0.25
66.3,24.27,0.14
66.38,24.37,0.15
66.22,24.54,0.12
66.15,24.71,0.04
66.08,24.78,0.21
66.16,24.79,0.3
66.14,24.71,0.11
66.19,24.74,0.1
66.26,24.57,0.21
66.17,24.37,0.12
66.12,24.36,0.01
66.07,24.22,0.04
66.16,24.23,0.02
66.27,24.2,0.06
66.17,24.33,0.12
66.29,24.36,0.12
66.27,24.34,0.01
66.23,24.38,0.06
66.15,24.33,0.12
66.19,24.33,0.15
66.26,24.27,0.08
66.38,24.35,0.03
66.33,24.34,0.03
66.29,24.37,0.05
66.19,24.5,0.01
66.19,24.37,0.12
66.18,24.34,0.17
66.13,24.38,0.1
66.19,24.27,0.02
66.25,24.28,0.02
66.28,24.21,0.04
66.38,24.29,0.02
66.44,24.18,0.09
66.44,24.12,0.13
66.27,24.25,0.08
66.29,24.27,0.1
66.22,24.27,0.01
66.29,24.29,0.02
66.36,24.37,0.01
66.36,24.33,0.22
66.4,24.26,0.25
66.43,24.33,0.49
66.36,24.33,0.42
66.34,24.26,0.28
66.36,24.37,0.14
66.45,24.33,0.06
66.5,24.33,0.05
66.43,24.29,1.65
66.42,24.23,1.55
66.22,24.15,1.09
66.35,24.06,0.52
66.32,24.12,1.24
66.37,24.02,1.94
66.6,24.07,3.05
66.68,23.99,4.24
66.63,23.95,5.9
66.65,24.07,6.19
66.72,24.25,2.94
66.89,24.37,0.68
66.92,24.42,0.69
66.89,24.28,5.45
66.92,24.42,7.03
66.96,24.4,3.1
67.02,24.43,2.48
67.14,24.52,3.71
67.12,24.48,4.57
67.05,24.48,4.36
66.92,24.36,4.64
66.94,24.25,4.49
66.71,24.33,4.86
66.76,24.25,4.81
66.73,24.24,4.77
66.75,24.26,4.26
66.72,24.45,8.37
66.6,24.37,8.94
66.64,24.4,12.17
66.64,24.43,22.78
66.69,24.44,22.28
69.05,22.09,9.04
69.18,21.91,8.88
69.73,20.87,8.16
69.52,21.04,7.93
66.94,24.28,8.38
66.59,25.69,2.88
66.39,26.84,5.35
66.02,28.79,3.32
65.88,33.26,1.87
66.3,32.02,2.42
67.41,26.29,3.96
68.9,21.56,4.39
68.93,21.74,6.53
70.94,16.72,3.59
72.98,14.46,3.57
71.3,20.46,3.43
70.79,22.22,3.73
70.65,23.01,9.93
70.79,22.87,15.63
70.58,22.78,22.52
70.78,22.79,19.14
70.58,22.65,8.09
70.76,22.68,0.55
70.58,22.56,16.4
70.9,22.84,9.1
71.57,23.43,3.99
71.25,24.04,6.13
70.66,22.96,5.28
69.31,22.55,5.38
67.97,21.43,5.15
67.61,21.07,5.17
69.82,21,5.12
67.54,22.3,4.97
67.83,22.27,4.99
67.73,22.27,5.11
67.99,22.24,2.84
81.06,29.78,3.41
78.74,27.17,1.54
57.65,37.17,1.85
70.75,30.73,0.93
82.17,30.98,1.05
82.93,31.22,0.78
79,32.22,0.99
79.78,32.21,0.91
79.28,32.22,0.94
77.72,32.6,0.89
77.81,32.63,0.95
78.39,32.23,0.77
83.55,30.43,1.03
85.25,30.88,0.98
87.53,31.43,0.8
86.89,31.62,1.2
83.9,31.02,1.16
77.77,32.35,1.54
71.23,31.49,1.82
73.1,30.8,1.55
75.01,30.64,2.24
78.39,30.22,1.97
78.5,30.31,1.94
78.58,30.18,2.22
78.61,30.13,2.22
78.59,29.92,2.95
78.77,29.64,2.32
78.85,29.52,3.08
78.84,29.36,3.34
78.9,29.19,3.24
